# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2196
#@/user_id	2446a328-747d-437d-b808-ae91155c7f29
a 	啊	c=1 d=1.01702 t=2196
tong bu 	同步	c=4 d=0.856415 t=2196
tong chang 	通常	c=3 d=2.09378 t=1782
tong guo 	通過	c=15 d=0.472367 t=2196
tong shi 	同時	c=9 d=2.98231 t=1439
tong yang shi 	同樣是	c=1 d=1 t=711
tong yi zhen 	同义镇	c=1 d=1 t=1214
tou jing 	透鏡	c=3 d=0.431711 t=2196
tou kui 	頭盔	c=2 d=0.932394 t=2196
tou kuo 	頭擴	c=1 d=1 t=361
tou shi 	透視	c=1 d=1 t=1888
tou ying 	投影	c=5 d=1.62527 t=2196
tu pian 	圖片	c=1 d=0.511709 t=2196
tu xiang 	圖像	c=8 d=0.865022 t=2196
tu xiang kuai er 	圖像塊兒	c=1 d=1 t=1664
tui hui 	退回	c=1 d=1 t=2117
wan bi 	完畢	c=1 d=1 t=1952
wan cheng 	完成	c=2 d=1.00764 t=1926
wan cheng le 	完成了	c=1 d=0.97531 t=2196
wei 	爲	c=11 d=2.06722 t=2196
wei xin 	微信	c=3 d=1.93269 t=2005
wei zhi 	位置	c=1 d=1 t=1384
wei zhu 	爲主	c=1 d=1 t=1789
wei zi 	位子	c=2 d=1.80252 t=1536
wen ding 	穩定	c=1 d=1 t=1443
wen jian 	文件	c=3 d=1.65448 t=2187
wen jian guan li qi 	文件管理器	c=1 d=1 t=1925
wen jian jia 	文件夾	c=1 d=1 t=2086
wen ti 	問題	c=17 d=1.83782 t=1960
wo 	我	c=2 d=0.909418 t=2196
wo men 	我們	c=5 d=2.28861 t=2196
wu 	無	c=1 d=0.282684 t=945
wu cha 	誤差	c=2 d=1.35169 t=1668
wu chong die 	無重疊	c=1 d=1 t=946
wu fa 	無法	c=1 d=1 t=1009
wu fa shi bie 	無法識別	c=1 d=1 t=1977
wu o 	嗚哦	c=1 d=1 t=2137
wu ren 	無人	c=0 d=0.1 t=1718
wu ren che 	無人車	c=2 d=1.71892 t=1785
wu ren ji 	無人機	c=8 d=4.11471 t=1805
xi shu 	係數	c=1 d=1 t=1643
xi shu 	稀疏	c=1 d=1 t=1646
xi tong 	系統	c=10 d=1.82075 t=2182
xia 	下	c=4 d=1.31355 t=2042
xia lie 	下列	c=1 d=0.715338 t=2196
xia mian 	下面	c=2 d=0.451581 t=2196
xia tu 	下圖	c=1 d=0.878095 t=2196
xia zai 	下載	c=2 d=1.97531 t=1983
xian dai 	現代	c=1 d=0.99005 t=2196
xian de 	顯得	c=1 d=1 t=658
xian shi 	顯示	c=1 d=1 t=2188
xian shi qi 	顯示器	c=2 d=1.97531 t=2196
xian zhi 	限制	c=1 d=0.878095 t=2196
xian zhuan 	現轉	c=1 d=1 t=456
xian zhuang 	現狀	c=4 d=1.89385 t=1336
xiang 	像	c=2 d=0.551563 t=2196
xiang bi 	相比	c=1 d=1 t=1292
xiang bi jiao 	相比較	c=2 d=1.00421 t=1597
xiang ji 	相機	c=72 d=12.2187 t=2196
xiang liang 	向量	c=1 d=0.66365 t=2196
xiang liang 	響亮	c=1 d=0.66034 t=2196
xiang su 	像素	c=1 d=0.644036 t=2196
xiang tong 	相同	c=2 d=1.93707 t=1832
xiang ying 	相應	c=1 d=1 t=1629
xiang zhuang 	相撞	c=1 d=1 t=598
xiao kong 	小孔	c=1 d=0.45612 t=2196
xiao mi feng 	小蜜蜂	c=1 d=0.937067 t=2196
xiao si le 	笑死了	c=1 d=0.970446 t=2196
xin 	新	c=1 d=1 t=2006
xin xi 	信息	c=12 d=2.96559 t=2109
xing neng 	性能	c=1 d=1 t=1562
xiu gai 	修改	c=3 d=1.46115 t=2169
xu duo 	許多	c=2 d=1.9802 t=530
xu lie 	序列	c=1 d=1 t=353
xu ni ji 	虛擬機	c=2 d=1.99005 t=1966
xu yao 	需要	c=4 d=1.0068 t=1747
xuan 	選	c=0 d=0.1 t=2114
xuan cuo le 	選錯了	c=1 d=1 t=2115
xuan ti 	選題	c=0 d=0.1 t=2111
xuan ze 	選擇	c=1 d=1 t=2185
xun lei 	迅雷	c=3 d=2.94575 t=1985
xun zhao 	尋找	c=1 d=0.722527 t=2196
ya 	呀	c=1 d=1 t=2095
ya li 	壓力	c=1 d=1 t=698
yan jiu 	研究	c=6 d=2.45635 t=1409
yan jiu zhe 	研究者	c=6 d=2.71483 t=1094
yan wu gan 	厭惡感	c=1 d=1 t=380
yan zheng 	驗證	c=1 d=1 t=1125
yao 	要	c=3 d=2.28273 t=617
yao qiu 	要求	c=2 d=0.860708 t=2196
ye 	也	c=14 d=1.56473 t=1689
yi 	一	c=3 d=1.00298 t=1953
yi 	以	c=8 d=2.2937 t=2037
yi bu 	異步	c=1 d=1 t=1096
yi ci 	以此	c=1 d=1 t=2011
yi ding 	一定	c=2 d=1.03858 t=1914
yi dong 	移動	c=1 d=1 t=367
yi fang mian 	一方面	c=2 d=1.97045 t=553
yi ge 	一個	c=7 d=2.76493 t=2196
yi ji 	以及	c=12 d=1.93659 t=2196
yi jin er ge 	以今兒個	c=1 d=1 t=1112
yi jing 	已經	c=1 d=1 t=1114
yi lai 	依賴	c=1 d=1 t=607
yi xi lie 	一系列	c=1 d=0.786628 t=2196
yi xie 	一些	c=4 d=3.35072 t=1874
yi zhi 	一直	c=1 d=0.574072 t=2196
yi zhi 	一致	c=1 d=0.579842 t=2196
yi zhong 	一種	c=9 d=1.36106 t=2196
yin ci 	因此	c=10 d=0.582748 t=2196
yin ru 	引入	c=7 d=0.806541 t=2196
yin yan 	引言	c=3 d=2.9459 t=2168
yin yong 	引用	c=1 d=0.718924 t=2196
ying jian 	硬件	c=1 d=1 t=1010
ying she 	映射	c=2 d=1.43823 t=643
ying yong 	應用	c=2 d=1.00184 t=1671
yong xian 	涌現	c=0 d=0.1 t=1167
yong xian le 	涌現了	c=1 d=1 t=1168
yong zai 	用在	c=0 d=0.1 t=1516
yong zai le 	用在了	c=1 d=1 t=1517
you 	優	c=1 d=1 t=1676
you 	有	c=2 d=1.8311 t=382
you hua 	優化	c=13 d=7.86236 t=1706
you hua qi 	優化器	c=2 d=1.8781 t=1490
you que dian 	優缺點	c=1 d=1 t=730
you xian ji 	優先級	c=1 d=1 t=2171
you xiao 	有效	c=4 d=1.48482 t=976
you yi ding 	有一定	c=2 d=1.61263 t=1226
you yu 	優於	c=1 d=1 t=2064
you yu 	由於	c=7 d=1.23879 t=2196
yu 	於	c=3 d=1.07792 t=1322
yu 	與	c=20 d=1.24244 t=2196
yu yan 	語言	c=1 d=0.644036 t=2196
yu yan 	魚眼	c=11 d=1.75864 t=2196
yu yan xiang ji 	魚眼相機	c=1 d=0.647265 t=2196
yu zhi 	與之	c=0 d=0.1 t=751
yu zhi dui ying 	與之對應	c=1 d=1 t=752
yuan li 	原理	c=1 d=1 t=2069
yuan yin 	原因	c=4 d=3.80354 t=807
yue fa 	越發	c=1 d=1 t=1165
yue shu 	約束	c=2 d=1.01674 t=2029
yun 	暈	c=0 d=0.1 t=1993
yun 	雲	c=1 d=1 t=1995
za zi ji de jiao 	砸自己的腳	c=1 d=1 t=2196
zai 	在	c=54 d=2.7879 t=2196
zai ci 	在此	c=1 d=1 t=2024
zai yi xie 	在一些	c=1 d=1 t=1679
zao cheng le 	造成了	c=1 d=1 t=691
zao qi 	早期	c=6 d=2.11174 t=1317
ze shi 	則是	c=1 d=0.694197 t=2196
zeng da 	增大	c=2 d=0.650509 t=2196
zeng da le 	增大了	c=1 d=1 t=850
zeng jia 	增加	c=1 d=0.865022 t=2196
zhan kai 	展開	c=1 d=1 t=749
zhan man 	佔滿	c=1 d=1 t=1968
zhan shi le 	展示了	c=1 d=0.882497 t=2196
zhang jie 	章節	c=1 d=1 t=2164
zhao 	趙	c=2 d=1.96561 t=2103
zhao bu dao 	找不到	c=1 d=1 t=2001
zhao lao shi 	照老師	c=1 d=1 t=2102
zhe 	折	c=9 d=1.07022 t=2196
zhe 	這	c=2 d=1.01145 t=1430
zhe dui yu 	這對於	c=1 d=1 t=1800
zhe fan she 	折反射	c=5 d=0.755784 t=2196
zhe she 	折射	c=7 d=3.62094 t=2196
zhe xie 	這些	c=1 d=1 t=704
zhe zhong 	這種	c=1 d=1 t=792
zhen 	幀	c=3 d=1.12094 t=1954
zhen dui 	針對	c=8 d=3.73681 t=1152
zhen jian 	針尖	c=1 d=1 t=1484
zhen lv 	帧率	c=1 d=1 t=1675
zhen shi 	真實	c=5 d=1.99204 t=2050
zhen shi 	真是	c=1 d=1 t=2049
zheng ban 	正版	c=1 d=1 t=377
zheng he 	整合	c=2 d=1.18637 t=1577
zheng ti 	整體	c=4 d=2.77489 t=2196
zheng xiang 	正向	c=1 d=0.802519 t=2196
zhi chi 	支持	c=1 d=1 t=1184
zhi chu 	指出	c=2 d=1.39852 t=983
zhi de 	值得	c=2 d=1.83946 t=1502
zhi hou 	之後	c=1 d=0.856415 t=2196
zhi jian 	之間	c=9 d=0.847894 t=2196
zhi jie 	直接	c=5 d=2.93696 t=1769
zhi qian 	之前	c=1 d=1 t=1531
zhong 	中	c=30 d=6.33613 t=2196
zhong 	種	c=1 d=1 t=1963
zhong wen 	中文	c=1 d=1 t=561
zhong yao 	重要	c=1 d=1 t=588
zhong zi 	種子	c=1 d=1 t=1984
zhou 	軸	c=1 d=0.559898 t=2196
zhu cong 	主從	c=1 d=1 t=1080
zhu jian 	逐漸	c=1 d=1 t=1690
zhu liu 	主流	c=1 d=1 t=1759
zhu yao 	主要	c=10 d=0.759572 t=2196
zhu yi 	注意	c=1 d=1 t=1503
zhuang tai 	狀態	c=6 d=4.81068 t=1390
zhui zong 	追蹤	c=0 d=0.1 t=1930
zhun que xing 	準確性	c=2 d=1.71177 t=1326
zi dai 	自帶	c=1 d=1 t=2146
zi tai 	姿態	c=6 d=1.51814 t=1942
zi ti 	字體	c=3 d=2.23083 t=2183
zong jie le 	總結了	c=1 d=1 t=726
zu cheng 	組成	c=3 d=1.62542 t=2196
zu he 	組合	c=6 d=1.06384 t=2009
zu zhi 	組織	c=1 d=1 t=1078
zui da 	最大	c=1 d=1 t=1004
zui hou 	最後	c=1 d=1 t=1222
zui xiao 	最小	c=1 d=1 t=1666
zui zhi jie 	最直接	c=2 d=1.86502 t=968
zui zhong 	最終	c=3 d=2.11069 t=1039
zuo 	做	c=1 d=1 t=1748
zuo biao 	座標	c=2 d=1.14654 t=2196
zuo biao xi 	座標系	c=1 d=0.600496 t=2196
zuo dao 	做到	c=2 d=1.0023 t=1559
zuo fa 	做法	c=2 d=0.67368 t=2196
zuo wei 	作爲	c=5 d=0.955997 t=2196
